0, 1845 MHz, 6800 MHz, 205.20 W, 69
1, 1875 MHz, 6800 MHz, 219.44 W, 67
2, 1860 MHz, 6800 MHz, 232.01 W, 71
3, 1830 MHz, 6800 MHz, 208.75 W, 73
0, 1845 MHz, 6800 MHz, 192.25 W, 69
1, 1875 MHz, 6800 MHz, 220.56 W, 67
2, 1860 MHz, 6800 MHz, 237.56 W, 71
3, 1830 MHz, 6800 MHz, 219.75 W, 73
0, 1845 MHz, 6800 MHz, 201.02 W, 69
1, 1875 MHz, 6800 MHz, 222.49 W, 68
2, 1860 MHz, 6800 MHz, 227.26 W, 71
3, 1830 MHz, 6800 MHz, 208.66 W, 73
0, 1845 MHz, 6800 MHz, 202.45 W, 69
1, 1875 MHz, 6800 MHz, 223.57 W, 68
2, 1845 MHz, 6800 MHz, 216.16 W, 70
3, 1830 MHz, 6800 MHz, 206.77 W, 73
0, 1845 MHz, 6800 MHz, 207.95 W, 69
1, 1875 MHz, 6800 MHz, 219.72 W, 67
2, 1845 MHz, 6800 MHz, 222.13 W, 71
3, 1830 MHz, 6800 MHz, 209.58 W, 73
0, 1845 MHz, 6800 MHz, 208.42 W, 69
1, 1875 MHz, 6800 MHz, 222.94 W, 68
2, 1860 MHz, 6800 MHz, 225.69 W, 71
3, 1830 MHz, 6800 MHz, 214.80 W, 73
0, 1845 MHz, 6800 MHz, 193.32 W, 69
1, 1875 MHz, 6800 MHz, 222.70 W, 67
2, 1845 MHz, 6800 MHz, 225.21 W, 71
3, 1830 MHz, 6800 MHz, 211.52 W, 73
0, 1845 MHz, 6800 MHz, 193.34 W, 69
1, 1875 MHz, 6800 MHz, 218.17 W, 68
2, 1860 MHz, 6800 MHz, 214.09 W, 71
3, 1830 MHz, 6800 MHz, 211.81 W, 74
0, 1845 MHz, 6800 MHz, 204.37 W, 70
1, 1875 MHz, 6800 MHz, 222.55 W, 68
2, 1860 MHz, 6800 MHz, 221.18 W, 71
3, 1830 MHz, 6800 MHz, 204.28 W, 73
0, 1845 MHz, 6800 MHz, 212.17 W, 71
1, 1875 MHz, 6800 MHz, 228.78 W, 69
2, 1860 MHz, 6800 MHz, 233.61 W, 72
3, 1830 MHz, 6800 MHz, 219.67 W, 74
0, 1845 MHz, 6800 MHz, 97.57 W, 65
1, 1875 MHz, 6800 MHz, 112.37 W, 63
2, 1860 MHz, 6800 MHz, 123.51 W, 67
3, 1830 MHz, 6800 MHz, 107.49 W, 68
0, 1845 MHz, 6800 MHz, 196.60 W, 68
1, 1875 MHz, 6800 MHz, 207.84 W, 66
2, 1860 MHz, 6800 MHz, 228.80 W, 70
3, 1830 MHz, 6800 MHz, 201.55 W, 71
0, 1845 MHz, 6800 MHz, 197.01 W, 68
1, 1875 MHz, 6800 MHz, 211.75 W, 67
2, 1860 MHz, 6800 MHz, 227.63 W, 70
3, 1830 MHz, 6800 MHz, 203.50 W, 72
0, 1845 MHz, 6800 MHz, 188.55 W, 69
1, 1875 MHz, 6800 MHz, 213.22 W, 67
2, 1860 MHz, 6800 MHz, 221.96 W, 71
3, 1830 MHz, 6800 MHz, 198.47 W, 72
0, 1845 MHz, 6800 MHz, 196.43 W, 69
1, 1875 MHz, 6800 MHz, 221.71 W, 67
2, 1860 MHz, 6800 MHz, 226.27 W, 71
3, 1830 MHz, 6800 MHz, 207.43 W, 72
0, 1845 MHz, 6800 MHz, 194.80 W, 69
1, 1875 MHz, 6800 MHz, 215.23 W, 67
2, 1860 MHz, 6800 MHz, 219.12 W, 71
3, 1830 MHz, 6800 MHz, 205.82 W, 72
0, 1845 MHz, 6800 MHz, 194.80 W, 69
1, 1875 MHz, 6800 MHz, 225.68 W, 67
2, 1860 MHz, 6800 MHz, 223.58 W, 71
3, 1830 MHz, 6800 MHz, 202.54 W, 72
0, 1845 MHz, 6800 MHz, 195.88 W, 69
1, 1875 MHz, 6800 MHz, 222.76 W, 67
2, 1860 MHz, 6800 MHz, 227.73 W, 71
3, 1830 MHz, 6800 MHz, 206.77 W, 72
0, 1845 MHz, 6800 MHz, 206.09 W, 67
1, 1875 MHz, 6800 MHz, 213.27 W, 65
2, 1860 MHz, 6800 MHz, 202.18 W, 69
3, 1830 MHz, 6800 MHz, 120.77 W, 70
0, 1845 MHz, 6800 MHz, 196.18 W, 69
1, 1875 MHz, 6800 MHz, 219.16 W, 67
2, 1860 MHz, 6800 MHz, 224.14 W, 71
3, 1830 MHz, 6800 MHz, 204.22 W, 73
0, 1845 MHz, 6800 MHz, 203.99 W, 69
1, 1875 MHz, 6800 MHz, 236.35 W, 67
2, 1845 MHz, 6800 MHz, 232.03 W, 70
3, 1830 MHz, 6800 MHz, 213.48 W, 72
0, 1845 MHz, 6800 MHz, 197.35 W, 69
1, 1875 MHz, 6800 MHz, 219.74 W, 67
2, 1845 MHz, 6800 MHz, 230.27 W, 71
3, 1830 MHz, 6800 MHz, 203.82 W, 73
0, 1845 MHz, 6800 MHz, 198.34 W, 69
1, 1875 MHz, 6800 MHz, 219.74 W, 67
2, 1860 MHz, 6800 MHz, 225.85 W, 71
3, 1830 MHz, 6800 MHz, 202.95 W, 73
0, 1845 MHz, 6800 MHz, 200.10 W, 69
1, 1875 MHz, 6800 MHz, 224.53 W, 67
2, 1845 MHz, 6800 MHz, 220.13 W, 71
3, 1830 MHz, 6800 MHz, 210.60 W, 73
0, 1845 MHz, 6800 MHz, 198.71 W, 69
1, 1875 MHz, 6800 MHz, 217.36 W, 67
2, 1860 MHz, 6800 MHz, 230.49 W, 71
3, 1830 MHz, 6800 MHz, 210.55 W, 73
0, 1845 MHz, 6800 MHz, 201.77 W, 69
1, 1875 MHz, 6800 MHz, 228.40 W, 67
2, 1860 MHz, 6800 MHz, 216.06 W, 71
3, 1830 MHz, 6800 MHz, 207.72 W, 73
0, 1845 MHz, 6800 MHz, 197.43 W, 69
1, 1875 MHz, 6800 MHz, 221.60 W, 67
2, 1860 MHz, 6800 MHz, 226.52 W, 71
3, 1830 MHz, 6800 MHz, 208.91 W, 73
0, 1845 MHz, 6800 MHz, 202.87 W, 69
1, 1875 MHz, 6800 MHz, 217.64 W, 68
2, 1860 MHz, 6800 MHz, 223.88 W, 71
3, 1830 MHz, 6800 MHz, 208.74 W, 73
0, 1845 MHz, 6800 MHz, 193.97 W, 69
1, 1875 MHz, 6800 MHz, 216.35 W, 67
2, 1845 MHz, 6800 MHz, 223.22 W, 71
3, 1830 MHz, 6800 MHz, 203.99 W, 73
0, 1845 MHz, 6800 MHz, 203.55 W, 69
1, 1875 MHz, 6800 MHz, 225.60 W, 68
2, 1860 MHz, 6800 MHz, 232.02 W, 72
3, 1830 MHz, 6800 MHz, 215.75 W, 73
0, 1845 MHz, 6800 MHz, 204.94 W, 69
1, 1875 MHz, 6800 MHz, 226.69 W, 68
2, 1860 MHz, 6800 MHz, 223.57 W, 72
3, 1830 MHz, 6800 MHz, 219.37 W, 73
0, 1845 MHz, 6800 MHz, 205.19 W, 69
1, 1875 MHz, 6800 MHz, 226.81 W, 68
2, 1860 MHz, 6800 MHz, 228.15 W, 72
3, 1830 MHz, 6800 MHz, 214.33 W, 74
0, 1845 MHz, 6800 MHz, 201.15 W, 69
1, 1875 MHz, 6800 MHz, 228.45 W, 68
2, 1860 MHz, 6800 MHz, 232.33 W, 71
3, 1830 MHz, 6800 MHz, 205.91 W, 73
0, 1845 MHz, 6800 MHz, 193.76 W, 70
1, 1875 MHz, 6800 MHz, 228.20 W, 68
2, 1860 MHz, 6800 MHz, 234.29 W, 72
3, 1830 MHz, 6800 MHz, 208.95 W, 73
0, 1845 MHz, 6800 MHz, 196.59 W, 69
1, 1875 MHz, 6800 MHz, 230.93 W, 68
2, 1845 MHz, 6800 MHz, 220.53 W, 71
3, 1830 MHz, 6800 MHz, 206.27 W, 73
0, 1845 MHz, 6800 MHz, 201.65 W, 70
1, 1875 MHz, 6800 MHz, 223.60 W, 68
2, 1860 MHz, 6800 MHz, 220.92 W, 71
3, 1830 MHz, 6800 MHz, 217.32 W, 73
0, 1845 MHz, 6800 MHz, 195.18 W, 70
1, 1875 MHz, 6800 MHz, 225.87 W, 68
2, 1845 MHz, 6800 MHz, 226.96 W, 71
3, 1830 MHz, 6800 MHz, 209.79 W, 74
0, 1845 MHz, 6800 MHz, 202.66 W, 69
1, 1875 MHz, 6800 MHz, 226.26 W, 68
2, 1860 MHz, 6800 MHz, 230.07 W, 72
3, 1830 MHz, 6800 MHz, 208.12 W, 74
0, 1845 MHz, 6800 MHz, 210.15 W, 70
1, 1875 MHz, 6800 MHz, 216.61 W, 68
2, 1860 MHz, 6800 MHz, 241.76 W, 72
3, 1830 MHz, 6800 MHz, 218.77 W, 74
0, 1845 MHz, 6800 MHz, 199.17 W, 70
1, 1875 MHz, 6800 MHz, 220.55 W, 68
2, 1860 MHz, 6800 MHz, 226.44 W, 72
3, 1830 MHz, 6800 MHz, 213.32 W, 74
0, 1845 MHz, 6800 MHz, 195.74 W, 70
1, 1875 MHz, 6800 MHz, 227.66 W, 68
2, 1845 MHz, 6800 MHz, 229.72 W, 72
3, 1830 MHz, 6800 MHz, 213.30 W, 74
0, 1845 MHz, 6800 MHz, 199.34 W, 70
1, 1875 MHz, 6800 MHz, 234.40 W, 68
2, 1845 MHz, 6800 MHz, 237.81 W, 72
3, 1830 MHz, 6800 MHz, 206.96 W, 74
0, 1845 MHz, 6800 MHz, 203.85 W, 70
1, 1875 MHz, 6800 MHz, 216.26 W, 68
2, 1845 MHz, 6800 MHz, 229.25 W, 72
3, 1830 MHz, 6800 MHz, 211.20 W, 74
0, 1845 MHz, 6800 MHz, 200.97 W, 70
1, 1875 MHz, 6800 MHz, 216.91 W, 68
2, 1845 MHz, 6800 MHz, 218.56 W, 72
3, 1830 MHz, 6800 MHz, 215.12 W, 74
0, 1845 MHz, 6800 MHz, 202.38 W, 70
1, 1875 MHz, 6800 MHz, 213.81 W, 68
