2, 1860 MHz, 6800 MHz, 247.73 W, 71
3, 1830 MHz, 6800 MHz, 234.18 W, 73
0, 1860 MHz, 6800 MHz, 219.46 W, 69
1, 1860 MHz, 6800 MHz, 238.39 W, 68
2, 1860 MHz, 6800 MHz, 250.11 W, 71
3, 1830 MHz, 6800 MHz, 233.24 W, 73
0, 1860 MHz, 6800 MHz, 205.88 W, 68
1, 1860 MHz, 6800 MHz, 213.54 W, 66
2, 1860 MHz, 6800 MHz, 220.31 W, 69
3, 1830 MHz, 6800 MHz, 233.40 W, 71
0, 1845 MHz, 6800 MHz, 157.83 W, 67
1, 1860 MHz, 6800 MHz, 169.76 W, 65
2, 1860 MHz, 6800 MHz, 177.35 W, 69
3, 1830 MHz, 6800 MHz, 223.50 W, 71
0, 1845 MHz, 6800 MHz, 124.79 W, 68
1, 1860 MHz, 6800 MHz, 131.07 W, 66
2, 1860 MHz, 6800 MHz, 137.96 W, 70
3, 1830 MHz, 6800 MHz, 161.85 W, 72
0, 1845 MHz, 6800 MHz, 119.96 W, 68
1, 1860 MHz, 6800 MHz, 145.36 W, 67
2, 1860 MHz, 6800 MHz, 148.96 W, 71
3, 1830 MHz, 6800 MHz, 193.23 W, 73
0, 1845 MHz, 6800 MHz, 140.72 W, 69
1, 1860 MHz, 6800 MHz, 168.78 W, 67
2, 1860 MHz, 6800 MHz, 245.82 W, 71
3, 1830 MHz, 6800 MHz, 216.27 W, 73
0, 1845 MHz, 6800 MHz, 215.36 W, 69
1, 1860 MHz, 6800 MHz, 238.71 W, 67
2, 1860 MHz, 6800 MHz, 249.23 W, 71
3, 1830 MHz, 6800 MHz, 228.97 W, 73
0, 1845 MHz, 6800 MHz, 217.18 W, 69
1, 1860 MHz, 6800 MHz, 240.11 W, 68
2, 1860 MHz, 6800 MHz, 247.49 W, 71
3, 1830 MHz, 6800 MHz, 234.33 W, 74
0, 1845 MHz, 6800 MHz, 217.77 W, 70
1, 1860 MHz, 6800 MHz, 241.38 W, 68
2, 1860 MHz, 6800 MHz, 247.34 W, 72
3, 1830 MHz, 6800 MHz, 236.29 W, 74
0, 1845 MHz, 6800 MHz, 218.71 W, 69
1, 1860 MHz, 6800 MHz, 242.98 W, 67
2, 1860 MHz, 6800 MHz, 253.35 W, 70
3, 1830 MHz, 6800 MHz, 228.64 W, 73
0, 1845 MHz, 6800 MHz, 215.35 W, 70
1, 1860 MHz, 6800 MHz, 239.66 W, 68
2, 1860 MHz, 6800 MHz, 251.57 W, 72
3, 1830 MHz, 6800 MHz, 192.04 W, 74
0, 1845 MHz, 6800 MHz, 217.27 W, 70
1, 1860 MHz, 6800 MHz, 241.91 W, 68
2, 1860 MHz, 6800 MHz, 250.88 W, 72
3, 1830 MHz, 6800 MHz, 234.91 W, 75
0, 1845 MHz, 6800 MHz, 218.15 W, 70
1, 1860 MHz, 6800 MHz, 242.40 W, 69
2, 1860 MHz, 6800 MHz, 252.88 W, 72
3, 1830 MHz, 6800 MHz, 237.49 W, 75
0, 1845 MHz, 6800 MHz, 218.74 W, 69
1, 1860 MHz, 6800 MHz, 243.29 W, 67
2, 1860 MHz, 6800 MHz, 252.85 W, 71
3, 1830 MHz, 6800 MHz, 202.15 W, 74
0, 1845 MHz, 6800 MHz, 183.73 W, 70
1, 1860 MHz, 6800 MHz, 198.00 W, 69
2, 1860 MHz, 6800 MHz, 202.70 W, 72
3, 1830 MHz, 6800 MHz, 199.21 W, 75
0, 1845 MHz, 6800 MHz, 219.53 W, 70
1, 1860 MHz, 6800 MHz, 243.74 W, 69
2, 1860 MHz, 6800 MHz, 252.14 W, 72
3, 1830 MHz, 6800 MHz, 236.72 W, 75
0, 1845 MHz, 6800 MHz, 220.23 W, 70
