3, 1830 MHz, 6800 MHz, 233.26 W, 74
0, 1860 MHz, 6800 MHz, 222.06 W, 70
1, 1860 MHz, 6800 MHz, 242.79 W, 68
2, 1860 MHz, 6800 MHz, 252.23 W, 72
3, 1830 MHz, 6800 MHz, 235.40 W, 74
0, 1860 MHz, 6800 MHz, 224.18 W, 69
1, 1860 MHz, 6800 MHz, 231.55 W, 67
2, 1860 MHz, 6800 MHz, 252.89 W, 71
3, 1830 MHz, 6800 MHz, 237.96 W, 73
0, 1845 MHz, 6800 MHz, 183.58 W, 70
1, 1860 MHz, 6800 MHz, 210.95 W, 68
2, 1860 MHz, 6800 MHz, 251.57 W, 72
3, 1830 MHz, 6800 MHz, 234.05 W, 74
0, 1845 MHz, 6800 MHz, 215.89 W, 70
1, 1860 MHz, 6800 MHz, 242.44 W, 68
2, 1860 MHz, 6800 MHz, 252.74 W, 72
3, 1830 MHz, 6800 MHz, 236.68 W, 75
0, 1845 MHz, 6800 MHz, 214.71 W, 70
1, 1860 MHz, 6800 MHz, 245.05 W, 69
2, 1860 MHz, 6800 MHz, 252.73 W, 72
3, 1830 MHz, 6800 MHz, 237.48 W, 75
0, 1845 MHz, 6800 MHz, 189.07 W, 69
1, 1860 MHz, 6800 MHz, 198.83 W, 68
2, 1860 MHz, 6800 MHz, 253.33 W, 71
3, 1830 MHz, 6800 MHz, 238.71 W, 74
0, 1845 MHz, 6800 MHz, 186.66 W, 70
1, 1860 MHz, 6800 MHz, 226.00 W, 69
2, 1860 MHz, 6800 MHz, 252.49 W, 72
3, 1830 MHz, 6800 MHz, 236.16 W, 75
0, 1845 MHz, 6800 MHz, 217.07 W, 70
1, 1860 MHz, 6800 MHz, 243.90 W, 69
2, 1860 MHz, 6800 MHz, 254.02 W, 73
3, 1830 MHz, 6800 MHz, 237.79 W, 75
0, 1845 MHz, 6800 MHz, 216.50 W, 71
1, 1860 MHz, 6800 MHz, 243.51 W, 69
2, 1860 MHz, 6800 MHz, 255.03 W, 73
3, 1830 MHz, 6800 MHz, 236.77 W, 75
0, 1845 MHz, 6800 MHz, 216.18 W, 71
1, 1860 MHz, 6800 MHz, 245.67 W, 69
2, 1860 MHz, 6800 MHz, 253.14 W, 73
3, 1830 MHz, 6800 MHz, 240.21 W, 75
0, 1845 MHz, 6800 MHz, 205.75 W, 70
1, 1860 MHz, 6800 MHz, 209.14 W, 68
2, 1860 MHz, 6800 MHz, 250.95 W, 72
3, 1830 MHz, 6800 MHz, 237.78 W, 74
0, 1845 MHz, 6800 MHz, 181.02 W, 70
1, 1860 MHz, 6800 MHz, 199.02 W, 69
2, 1860 MHz, 6800 MHz, 219.28 W, 72
3, 1830 MHz, 6800 MHz, 223.99 W, 75
0, 1845 MHz, 6800 MHz, 196.16 W, 71
1, 1860 MHz, 6800 MHz, 238.69 W, 69
2, 1860 MHz, 6800 MHz, 249.94 W, 73
3, 1830 MHz, 6800 MHz, 238.74 W, 76
0, 1845 MHz, 6800 MHz, 219.57 W, 71
1, 1860 MHz, 6800 MHz, 248.89 W, 70
2, 1860 MHz, 6800 MHz, 251.54 W, 73
3, 1830 MHz, 6800 MHz, 240.48 W, 76
0, 1845 MHz, 6800 MHz, 213.88 W, 71
1, 1860 MHz, 6800 MHz, 225.02 W, 69
2, 1860 MHz, 6800 MHz, 236.67 W, 73
3, 1830 MHz, 6800 MHz, 219.86 W, 76
0, 1845 MHz, 6800 MHz, 97.43 W, 66
1, 1860 MHz, 6800 MHz, 116.01 W, 64
2, 1860 MHz, 6800 MHz, 124.66 W, 68
3, 1830 MHz, 6800 MHz, 110.04 W, 70
0, 1845 MHz, 6800 MHz, 210.36 W, 69
1, 1860 MHz, 6800 MHz, 236.81 W, 67
2, 1860 MHz, 6800 MHz, 250.33 W, 72
3, 1830 MHz, 6800 MHz, 230.80 W, 74
0, 1845 MHz, 6800 MHz, 186.11 W, 70
1, 1860 MHz, 6800 MHz, 202.40 W, 68
2, 1860 MHz, 6800 MHz, 208.72 W, 72
3, 1830 MHz, 6800 MHz, 195.17 W, 74
0, 1845 MHz, 6800 MHz, 213.68 W, 70
1, 1860 MHz, 6800 MHz, 238.04 W, 68
