0, 1860 MHz, 6800 MHz, 197.38 W, 68
1, 1860 MHz, 6800 MHz, 212.93 W, 65
2, 1860 MHz, 6800 MHz, 221.18 W, 69
3, 1830 MHz, 6800 MHz, 204.91 W, 71
0, 1860 MHz, 6800 MHz, 196.62 W, 68
1, 1860 MHz, 6800 MHz, 212.59 W, 65
2, 1860 MHz, 6800 MHz, 222.40 W, 69
3, 1830 MHz, 6800 MHz, 205.54 W, 71
0, 1860 MHz, 6800 MHz, 195.82 W, 68
1, 1860 MHz, 6800 MHz, 212.27 W, 65
2, 1860 MHz, 6800 MHz, 223.12 W, 69
3, 1830 MHz, 6800 MHz, 203.94 W, 71
0, 1860 MHz, 6800 MHz, 180.51 W, 67
1, 1860 MHz, 6800 MHz, 159.30 W, 65
2, 1860 MHz, 6800 MHz, 142.18 W, 69
3, 1830 MHz, 6800 MHz, 200.09 W, 71
0, 1860 MHz, 6800 MHz, 165.93 W, 66
1, 1860 MHz, 6800 MHz, 212.49 W, 64
2, 1860 MHz, 6800 MHz, 148.53 W, 68
3, 1830 MHz, 6800 MHz, 154.09 W, 69
0, 1860 MHz, 6800 MHz, 199.04 W, 68
1, 1860 MHz, 6800 MHz, 213.46 W, 66
2, 1860 MHz, 6800 MHz, 225.30 W, 70
3, 1830 MHz, 6800 MHz, 205.33 W, 71
0, 1860 MHz, 6800 MHz, 198.53 W, 68
1, 1860 MHz, 6800 MHz, 212.20 W, 66
2, 1860 MHz, 6800 MHz, 223.74 W, 70
3, 1830 MHz, 6800 MHz, 206.45 W, 71
0, 1860 MHz, 6800 MHz, 181.84 W, 68
1, 1860 MHz, 6800 MHz, 213.95 W, 66
2, 1860 MHz, 6800 MHz, 222.97 W, 70
3, 1830 MHz, 6800 MHz, 200.91 W, 71
0, 1860 MHz, 6800 MHz, 129.61 W, 67
1, 1860 MHz, 6800 MHz, 132.52 W, 65
2, 1860 MHz, 6800 MHz, 166.93 W, 69
3, 1830 MHz, 6800 MHz, 151.17 W, 70
0, 1860 MHz, 6800 MHz, 199.63 W, 69
1, 1860 MHz, 6800 MHz, 213.95 W, 66
2, 1860 MHz, 6800 MHz, 224.95 W, 70
3, 1830 MHz, 6800 MHz, 208.49 W, 71
0, 1860 MHz, 6800 MHz, 201.29 W, 68
1, 1860 MHz, 6800 MHz, 215.40 W, 66
2, 1860 MHz, 6800 MHz, 224.87 W, 70
3, 1830 MHz, 6800 MHz, 206.02 W, 72
0, 1860 MHz, 6800 MHz, 199.90 W, 69
1, 1860 MHz, 6800 MHz, 218.09 W, 66
2, 1860 MHz, 6800 MHz, 227.09 W, 70
3, 1830 MHz, 6800 MHz, 206.21 W, 72
0, 1860 MHz, 6800 MHz, 211.92 W, 69
1, 1860 MHz, 6800 MHz, 215.93 W, 66
2, 1860 MHz, 6800 MHz, 229.97 W, 70
3, 1830 MHz, 6800 MHz, 210.00 W, 72
0, 1860 MHz, 6800 MHz, 202.22 W, 69
1, 1860 MHz, 6800 MHz, 226.99 W, 66
2, 1860 MHz, 6800 MHz, 227.55 W, 70
3, 1830 MHz, 6800 MHz, 209.42 W, 72
0, 1860 MHz, 6800 MHz, 208.84 W, 69
1, 1860 MHz, 6800 MHz, 233.11 W, 66
2, 1860 MHz, 6800 MHz, 231.32 W, 70
3, 1830 MHz, 6800 MHz, 215.42 W, 72
0, 1860 MHz, 6800 MHz, 217.29 W, 69
1, 1860 MHz, 6800 MHz, 221.38 W, 66
2, 1860 MHz, 6800 MHz, 236.46 W, 71
3, 1830 MHz, 6800 MHz, 219.25 W, 72
0, 1860 MHz, 6800 MHz, 183.55 W, 69
1, 1860 MHz, 6800 MHz, 230.96 W, 67
2, 1860 MHz, 6800 MHz, 242.83 W, 71
3, 1830 MHz, 6800 MHz, 224.92 W, 72
0, 1860 MHz, 6800 MHz, 215.34 W, 69
1, 1860 MHz, 6800 MHz, 225.16 W, 67
2, 1860 MHz, 6800 MHz, 215.27 W, 71
3, 1830 MHz, 6800 MHz, 215.07 W, 72
0, 1860 MHz, 6800 MHz, 206.57 W, 70
1, 1860 MHz, 6800 MHz, 187.18 W, 67
2, 1860 MHz, 6800 MHz, 244.15 W, 71
3, 1830 MHz, 6800 MHz, 224.46 W, 73
0, 1860 MHz, 6800 MHz, 179.08 W, 70
1, 1860 MHz, 6800 MHz, 231.42 W, 67
2, 1860 MHz, 6800 MHz, 226.28 W, 71
3, 1830 MHz, 6800 MHz, 193.67 W, 73
0, 1860 MHz, 6800 MHz, 190.27 W, 70
1, 1860 MHz, 6800 MHz, 187.46 W, 67
2, 1860 MHz, 6800 MHz, 195.26 W, 71
3, 1830 MHz, 6800 MHz, 175.34 W, 73
0, 1860 MHz, 6800 MHz, 179.10 W, 69
1, 1860 MHz, 6800 MHz, 195.65 W, 67
2, 1860 MHz, 6800 MHz, 223.55 W, 71
3, 1830 MHz, 6800 MHz, 209.00 W, 72
0, 1860 MHz, 6800 MHz, 206.06 W, 69
1, 1860 MHz, 6800 MHz, 221.70 W, 66
2, 1860 MHz, 6800 MHz, 234.14 W, 70
3, 1830 MHz, 6800 MHz, 173.31 W, 72
0, 1860 MHz, 6800 MHz, 207.77 W, 70
1, 1860 MHz, 6800 MHz, 221.36 W, 67
2, 1860 MHz, 6800 MHz, 233.37 W, 72
3, 1830 MHz, 6800 MHz, 210.96 W, 73
0, 1860 MHz, 6800 MHz, 205.99 W, 70
