2, 1845 MHz, 6800 MHz, 216.98 W, 69
3, 1830 MHz, 6800 MHz, 205.67 W, 72
0, 1860 MHz, 6800 MHz, 208.90 W, 66
1, 1875 MHz, 6800 MHz, 159.04 W, 64
2, 1860 MHz, 6800 MHz, 171.29 W, 67
3, 1830 MHz, 6800 MHz, 169.99 W, 69
0, 1860 MHz, 6800 MHz, 200.12 W, 68
1, 1875 MHz, 6800 MHz, 218.27 W, 66
2, 1860 MHz, 6800 MHz, 223.49 W, 69
3, 1830 MHz, 6800 MHz, 205.57 W, 72
0, 1860 MHz, 6800 MHz, 201.62 W, 68
1, 1875 MHz, 6800 MHz, 150.68 W, 66
2, 1860 MHz, 6800 MHz, 151.16 W, 69
3, 1830 MHz, 6800 MHz, 227.71 W, 71
0, 1860 MHz, 6800 MHz, 197.11 W, 68
1, 1875 MHz, 6800 MHz, 213.93 W, 67
2, 1860 MHz, 6800 MHz, 219.98 W, 70
3, 1830 MHz, 6800 MHz, 202.34 W, 72
0, 1860 MHz, 6800 MHz, 208.57 W, 68
1, 1875 MHz, 6800 MHz, 222.41 W, 66
2, 1860 MHz, 6800 MHz, 217.30 W, 69
3, 1830 MHz, 6800 MHz, 216.26 W, 72
0, 1860 MHz, 6800 MHz, 203.47 W, 68
1, 1875 MHz, 6800 MHz, 220.60 W, 67
2, 1860 MHz, 6800 MHz, 222.03 W, 70
3, 1830 MHz, 6800 MHz, 205.33 W, 72
0, 1860 MHz, 6800 MHz, 192.56 W, 68
1, 1875 MHz, 6800 MHz, 215.66 W, 67
2, 1860 MHz, 6800 MHz, 224.75 W, 70
3, 1830 MHz, 6800 MHz, 207.41 W, 72
0, 1860 MHz, 6800 MHz, 192.99 W, 68
1, 1875 MHz, 6800 MHz, 214.08 W, 67
2, 1860 MHz, 6800 MHz, 234.33 W, 70
3, 1830 MHz, 6800 MHz, 206.94 W, 72
0, 1860 MHz, 6800 MHz, 192.58 W, 68
1, 1875 MHz, 6800 MHz, 231.04 W, 67
2, 1860 MHz, 6800 MHz, 236.08 W, 70
3, 1830 MHz, 6800 MHz, 209.65 W, 72
0, 1845 MHz, 6800 MHz, 199.79 W, 69
1, 1875 MHz, 6800 MHz, 217.27 W, 67
2, 1845 MHz, 6800 MHz, 221.62 W, 70
3, 1830 MHz, 6800 MHz, 218.15 W, 72
0, 1845 MHz, 6800 MHz, 192.85 W, 69
1, 1875 MHz, 6800 MHz, 220.85 W, 67
2, 1860 MHz, 6800 MHz, 225.28 W, 71
3, 1830 MHz, 6800 MHz, 216.35 W, 72
0, 1845 MHz, 6800 MHz, 205.23 W, 69
1, 1875 MHz, 6800 MHz, 214.49 W, 67
2, 1845 MHz, 6800 MHz, 225.33 W, 70
3, 1830 MHz, 6800 MHz, 208.75 W, 72
0, 1845 MHz, 6800 MHz, 189.62 W, 69
1, 1875 MHz, 6800 MHz, 226.13 W, 67
2, 1845 MHz, 6800 MHz, 220.46 W, 70
3, 1830 MHz, 6800 MHz, 205.15 W, 72
0, 1845 MHz, 6800 MHz, 200.92 W, 69
1, 1875 MHz, 6800 MHz, 224.58 W, 67
2, 1860 MHz, 6800 MHz, 228.75 W, 71
3, 1830 MHz, 6800 MHz, 220.77 W, 73
0, 1845 MHz, 6800 MHz, 196.19 W, 69
1, 1875 MHz, 6800 MHz, 220.07 W, 67
2, 1860 MHz, 6800 MHz, 227.12 W, 71
3, 1830 MHz, 6800 MHz, 205.16 W, 73
0, 1845 MHz, 6800 MHz, 208.43 W, 69
1, 1875 MHz, 6800 MHz, 217.02 W, 67
2, 1860 MHz, 6800 MHz, 220.92 W, 71
3, 1830 MHz, 6800 MHz, 209.81 W, 73
0, 1845 MHz, 6800 MHz, 202.07 W, 69
1, 1875 MHz, 6800 MHz, 217.61 W, 67
2, 1845 MHz, 6800 MHz, 220.54 W, 71
3, 1830 MHz, 6800 MHz, 216.84 W, 73
0, 1845 MHz, 6800 MHz, 200.69 W, 69
1, 1845 MHz, 6800 MHz, 219.37 W, 68
2, 1830 MHz, 6800 MHz, 218.63 W, 71
3, 1830 MHz, 6800 MHz, 211.20 W, 73
0, 1845 MHz, 6800 MHz, 190.37 W, 69
1, 1875 MHz, 6800 MHz, 219.08 W, 68
2, 1860 MHz, 6800 MHz, 222.35 W, 71
3, 1830 MHz, 6800 MHz, 207.02 W, 73
0, 1845 MHz, 6800 MHz, 208.32 W, 70
1, 1860 MHz, 6800 MHz, 224.34 W, 68
2, 1860 MHz, 6800 MHz, 231.95 W, 72
3, 1830 MHz, 6800 MHz, 213.91 W, 74
0, 1845 MHz, 6800 MHz, 97.71 W, 66
1, 1860 MHz, 6800 MHz, 116.49 W, 64
2, 1860 MHz, 6800 MHz, 123.66 W, 67
3, 1830 MHz, 6800 MHz, 108.72 W, 69
0, 1845 MHz, 6800 MHz, 95.54 W, 65
1, 1875 MHz, 6800 MHz, 111.61 W, 62
2, 1860 MHz, 6800 MHz, 122.82 W, 67
3, 1830 MHz, 6800 MHz, 106.10 W, 67
0, 1845 MHz, 6800 MHz, 187.69 W, 68
1, 1875 MHz, 6800 MHz, 209.70 W, 66
2, 1860 MHz, 6800 MHz, 228.26 W, 70
3, 1830 MHz, 6800 MHz, 196.06 W, 72
0, 1845 MHz, 6800 MHz, 148.37 W, 68
1, 1875 MHz, 6800 MHz, 150.68 W, 66
2, 1860 MHz, 6800 MHz, 143.39 W, 70
3, 1830 MHz, 6800 MHz, 111.94 W, 71
0, 1845 MHz, 6800 MHz, 187.66 W, 69
1, 1875 MHz, 6800 MHz, 217.16 W, 67
2, 1860 MHz, 6800 MHz, 219.36 W, 70
3, 1830 MHz, 6800 MHz, 197.97 W, 72
0, 1845 MHz, 6800 MHz, 201.21 W, 68
1, 1875 MHz, 6800 MHz, 224.71 W, 67
2, 1860 MHz, 6800 MHz, 223.09 W, 70
3, 1830 MHz, 6800 MHz, 198.86 W, 72
0, 1845 MHz, 6800 MHz, 195.58 W, 68
1, 1875 MHz, 6800 MHz, 218.71 W, 67
2, 1860 MHz, 6800 MHz, 224.89 W, 71
3, 1830 MHz, 6800 MHz, 204.84 W, 72
0, 1845 MHz, 6800 MHz, 195.86 W, 69
1, 1875 MHz, 6800 MHz, 217.69 W, 67
2, 1845 MHz, 6800 MHz, 227.87 W, 70
3, 1830 MHz, 6800 MHz, 205.83 W, 72
0, 1845 MHz, 6800 MHz, 190.40 W, 69
1, 1875 MHz, 6800 MHz, 220.10 W, 67
2, 1860 MHz, 6800 MHz, 222.73 W, 71
3, 1830 MHz, 6800 MHz, 200.20 W, 72
0, 1845 MHz, 6800 MHz, 191.41 W, 69
1, 1875 MHz, 6800 MHz, 215.59 W, 67
2, 1860 MHz, 6800 MHz, 219.84 W, 70
3, 1830 MHz, 6800 MHz, 209.76 W, 72
0, 1845 MHz, 6800 MHz, 191.75 W, 69
1, 1875 MHz, 6800 MHz, 221.81 W, 67
2, 1860 MHz, 6800 MHz, 229.30 W, 71
