2, 1860 MHz, 6800 MHz, 245.87 W, 70
3, 1830 MHz, 6800 MHz, 233.08 W, 73
0, 1860 MHz, 6800 MHz, 218.97 W, 69
1, 1860 MHz, 6800 MHz, 243.01 W, 67
2, 1860 MHz, 6800 MHz, 244.03 W, 70
3, 1830 MHz, 6800 MHz, 237.13 W, 73
0, 1860 MHz, 6800 MHz, 178.62 W, 68
1, 1860 MHz, 6800 MHz, 191.10 W, 66
2, 1860 MHz, 6800 MHz, 198.26 W, 69
3, 1830 MHz, 6800 MHz, 187.38 W, 72
0, 1860 MHz, 6800 MHz, 160.80 W, 67
1, 1860 MHz, 6800 MHz, 173.27 W, 65
2, 1860 MHz, 6800 MHz, 181.13 W, 68
3, 1830 MHz, 6800 MHz, 168.14 W, 71
0, 1860 MHz, 6800 MHz, 99.24 W, 64
1, 1860 MHz, 6800 MHz, 115.76 W, 62
2, 1860 MHz, 6800 MHz, 120.78 W, 65
3, 1830 MHz, 6800 MHz, 107.29 W, 67
0, 1860 MHz, 6800 MHz, 216.39 W, 67
1, 1875 MHz, 6800 MHz, 234.90 W, 65
2, 1860 MHz, 6800 MHz, 241.47 W, 68
3, 1830 MHz, 6800 MHz, 209.71 W, 70
0, 1860 MHz, 6800 MHz, 146.32 W, 68
1, 1860 MHz, 6800 MHz, 176.64 W, 66
2, 1860 MHz, 6800 MHz, 240.65 W, 69
3, 1830 MHz, 6800 MHz, 218.82 W, 72
0, 1860 MHz, 6800 MHz, 213.28 W, 68
1, 1860 MHz, 6800 MHz, 232.87 W, 66
2, 1860 MHz, 6800 MHz, 242.67 W, 70
3, 1830 MHz, 6800 MHz, 228.29 W, 72
0, 1860 MHz, 6800 MHz, 215.53 W, 68
1, 1860 MHz, 6800 MHz, 236.52 W, 67
2, 1860 MHz, 6800 MHz, 243.32 W, 70
3, 1830 MHz, 6800 MHz, 231.36 W, 73
0, 1860 MHz, 6800 MHz, 216.30 W, 69
1, 1860 MHz, 6800 MHz, 237.49 W, 67
2, 1860 MHz, 6800 MHz, 242.76 W, 70
3, 1830 MHz, 6800 MHz, 230.72 W, 73
0, 1860 MHz, 6800 MHz, 217.61 W, 67
1, 1860 MHz, 6800 MHz, 227.34 W, 65
2, 1860 MHz, 6800 MHz, 245.22 W, 68
3, 1830 MHz, 6800 MHz, 183.81 W, 71
0, 1860 MHz, 6800 MHz, 190.05 W, 67
1, 1860 MHz, 6800 MHz, 175.16 W, 65
2, 1860 MHz, 6800 MHz, 135.01 W, 69
3, 1830 MHz, 6800 MHz, 128.72 W, 71
0, 1860 MHz, 6800 MHz, 144.10 W, 68
1, 1860 MHz, 6800 MHz, 129.01 W, 66
2, 1860 MHz, 6800 MHz, 186.90 W, 70
3, 1830 MHz, 6800 MHz, 149.35 W, 72
0, 1860 MHz, 6800 MHz, 217.11 W, 68
1, 1860 MHz, 6800 MHz, 237.56 W, 67
2, 1860 MHz, 6800 MHz, 228.20 W, 70
3, 1830 MHz, 6800 MHz, 191.00 W, 73
0, 1860 MHz, 6800 MHz, 217.43 W, 69
1, 1860 MHz, 6800 MHz, 239.19 W, 67
2, 1860 MHz, 6800 MHz, 244.69 W, 71
3, 1830 MHz, 6800 MHz, 232.60 W, 73
0, 1860 MHz, 6800 MHz, 219.35 W, 69
1, 1860 MHz, 6800 MHz, 239.32 W, 67
2, 1860 MHz, 6800 MHz, 248.03 W, 71
3, 1830 MHz, 6800 MHz, 233.44 W, 73
0, 1860 MHz, 6800 MHz, 220.45 W, 69
1, 1860 MHz, 6800 MHz, 239.26 W, 67
2, 1860 MHz, 6800 MHz, 249.07 W, 71
3, 1830 MHz, 6800 MHz, 233.33 W, 73
0, 1860 MHz, 6800 MHz, 219.45 W, 69
1, 1860 MHz, 6800 MHz, 239.26 W, 67
2, 1860 MHz, 6800 MHz, 249.67 W, 71
3, 1830 MHz, 6800 MHz, 233.77 W, 74
0, 1860 MHz, 6800 MHz, 219.91 W, 69
1, 1860 MHz, 6800 MHz, 240.73 W, 67
2, 1845 MHz, 6800 MHz, 249.56 W, 71
3, 1830 MHz, 6800 MHz, 233.82 W, 74
0, 1860 MHz, 6800 MHz, 220.94 W, 70
1, 1860 MHz, 6800 MHz, 240.77 W, 67
2, 1860 MHz, 6800 MHz, 250.75 W, 71
3, 1830 MHz, 6800 MHz, 234.55 W, 74
0, 1860 MHz, 6800 MHz, 223.01 W, 69
1, 1860 MHz, 6800 MHz, 203.96 W, 67
2, 1860 MHz, 6800 MHz, 197.01 W, 71
3, 1830 MHz, 6800 MHz, 187.49 W, 73
0, 1845 MHz, 6800 MHz, 172.33 W, 69
1, 1860 MHz, 6800 MHz, 228.09 W, 68
2, 1860 MHz, 6800 MHz, 250.68 W, 71
3, 1830 MHz, 6800 MHz, 233.01 W, 74
0, 1845 MHz, 6800 MHz, 213.67 W, 70
1, 1860 MHz, 6800 MHz, 239.49 W, 68
2, 1860 MHz, 6800 MHz, 250.91 W, 72
3, 1830 MHz, 6800 MHz, 235.07 W, 74
0, 1845 MHz, 6800 MHz, 213.10 W, 70
1, 1860 MHz, 6800 MHz, 242.00 W, 68
2, 1860 MHz, 6800 MHz, 250.88 W, 72
3, 1830 MHz, 6800 MHz, 235.25 W, 74
0, 1845 MHz, 6800 MHz, 209.60 W, 69
1, 1860 MHz, 6800 MHz, 197.46 W, 68
2, 1860 MHz, 6800 MHz, 250.26 W, 71
3, 1830 MHz, 6800 MHz, 187.44 W, 74
0, 1845 MHz, 6800 MHz, 180.37 W, 70
1, 1860 MHz, 6800 MHz, 235.90 W, 68
2, 1860 MHz, 6800 MHz, 251.57 W, 72
3, 1830 MHz, 6800 MHz, 236.01 W, 74
0, 1845 MHz, 6800 MHz, 214.54 W, 70
1, 1860 MHz, 6800 MHz, 242.06 W, 68
2, 1860 MHz, 6800 MHz, 253.21 W, 72
3, 1830 MHz, 6800 MHz, 236.65 W, 75
0, 1845 MHz, 6800 MHz, 216.70 W, 70
1, 1860 MHz, 6800 MHz, 244.05 W, 69
2, 1860 MHz, 6800 MHz, 252.17 W, 73
3, 1830 MHz, 6800 MHz, 238.04 W, 75
0, 1845 MHz, 6800 MHz, 216.63 W, 69
1, 1860 MHz, 6800 MHz, 244.43 W, 68
2, 1860 MHz, 6800 MHz, 221.36 W, 71
3, 1830 MHz, 6800 MHz, 215.44 W, 74
0, 1845 MHz, 6800 MHz, 176.29 W, 70
1, 1860 MHz, 6800 MHz, 197.68 W, 68
2, 1860 MHz, 6800 MHz, 208.04 W, 72
3, 1830 MHz, 6800 MHz, 192.02 W, 75
